system,user (input),assistant (output)
You are Miricle's Presentation slide explainer,"# KEY WORDS
---
## 2
---
## Art club
---
#### 미술 동아리
---
## Football club
---
#### 축구 동아리
---
## Drama club
---
#### 연극 동아리
---
## Choir club
---
#### 합창 동아리
---
## Dance club
---
#### 댄스 동아리
---
## Science Club
---
#### 과학 동아리
---
#### 수업에서 배울 단어를 소개하기 좋은 페이지입니다.","{descriptive_summary: ""Slide 2 is a classroom vocabulary page that introduces the concept of ‘동아리’—extracurricular school clubs—by displaying six representative club types (art, football, drama, choir, dance, science) in English with their Korean translations. The slide’s purpose is to help students learn club-related words"", grid_size: [{ rows:2, cols:3 }, { rows:1, cols:6 }]}"
You are Miricle's Presentation slide explainer,"# asdfasdfasdfasdfasdf
---
## asdfasdfasdfasdf
---
#### asdfasdfasdfasdf","{descriptive_summary: ""A slide featuring a three-level typographic hierarchy—one large primary headline, one medium secondary heading, and one small tertiary caption—stacked vertically to convey a clear information flow."", grid_size: [{ rows:1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"# Our Wedding
---
### See you soon
---
## We're getting married
---
##### Park Taehoon & Lee Jiyeon
---
#### May 10, 2025 Sat 13:00\n
MIRI CONVENTION
---
###### SUN
---
###### MON
---
###### WED
---
###### TUE
---
###### THU
---
###### FRI
---
###### SAT
---
###### 1
---
###### 2
---
###### 3
---
###### 4
---
###### 5
---
###### 6
---
###### 7
---
###### 8
---
###### 9
---
###### 10
---
###### 11
---
###### 12
---
###### 13
---
###### 14
---
###### 15
---
###### 16
---
###### 17
---
###### 18
---
###### 19
---
###### 20
---
###### 21
---
###### 22
---
###### 23
---
###### 24
---
###### 25
---
###### 26
---
###### 27
---
###### 28
---
###### 29
---
###### 30
---
###### 31","{descriptive_summary: ""This slide serves as a digital wedding invitation, featuring a greeting message, a calendar with the ceremony date highlighted, and essential event details including the couple designation, ceremony time, and venue information."", grid_size: [{ rows:1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"##### MIRI COMPANY
⸻
##### Contents
⸻
# 목차
⸻
## I. 브랜드 소개
⸻
## 2 상품 라인업
⸻
## 3 주요 상품 소개
⸻
## 4 제안 내용
⸻
## 5 기대 효과
⸻
## 6 추진 일정","{descriptive_summary: ""This is a table of contents slide that succinctly lists six key sections—Brand Introduction, Product Lineup, Key Product Highlights, Proposal Details, Expected Benefits, and Project Timeline—as titles, in order to guide the overall flow of the presentation clearly and effectively."", grid_size: [{ rows:6, cols:1 }, { rows:1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"# **S**
---
# **O**
---
# **W**
---
# **T**
---
### Use infographics to frame your company’s story. Easy and fun to design.
---
## **STRENGHTS**
---
### Use infographics to frame your company’s story. Easy and fun to design.
---
## **WEAKNESSES**
---
## **OPPORTUNITIES**
---
### Use infographics to frame your company’s story. Easy and fun to design.
---
## **THREATS**
---
### Use infographics to frame your company’s story. Easy and fun to design.","{descriptive_summary: ""This slide presents a visually engaging infographic layout that illustrates the four key elements of SWOT analysis—Strengths, Weaknesses, Opportunities, and Threats. Each element is highlighted with a large initial letter, a clear title, an intuitive icon, and a concise description, effectively conveying the core ideas of each factor at a glance. The layout is designed to provide a balanced overview of both internal and external factors influencing the project or business."", grid_size: [{ rows:1, cols:4 }, { rows:2, cols:2 }]}"
You are Miricle's Presentation slide explainer,"# **추진 일정**
---
##### Implementation
---
##### Timeline
---
## 추진 일정에 대한 포괄적인 내용을 적어주세요.
---
### Kick off
---
### From Vision to Reality
---
### **제품 정렬**
---
#### 이곳에 각 단계별 간단한 설명을 입력해 주세요.
---
#### 이곳에 각 단계별 간단한 설명을 입력해 주세요.
---
### **마케팅 전략 수립**
---
### **제품 출시**
---
#### 이곳에 각 단계별 간단한 설명을 입력해 주세요.
---
#### 이곳에 각 단계별 간단한 설명을 입력해 주세요.
---
### **프로모션 실시**","{descriptive_summary: ""This is a timeline that visually presents the overall project progression at a glance, connecting four key activities in sequence with directional arrows—from the initial kickoff stage to the final promotion execution, where the vision becomes concrete. Each phase is clearly labeled with: “Product Alignment,” “Marketing Strategy Development,” “Product Launch,” and “Promotion Execution.” Below each phase, a brief description is provided to clearly convey the main tasks and objectives of each stage"", grid_size: [{ rows:1, cols:4 }]}"
You are Miricle's Presentation slide explainer,"# **MIRI PET COMPANY GOODS EVENT**
---
### 굿즈 구매 후 후기를 엽서에 써서 보내주세요!
추첨을 통해 미리펫컴퍼니 *마우스 굿즈 총 8종*을 보내드립니다!
---
## POST 
---
## **MAIL**
---
### On Miri Card, for the members,  
---
### This is a proposal for  
---
### Miri Card event goods.","{descriptive_summary: ""Promotional slide urges customers to mail handwritten postcard reviews after buying goods for a chance to win eight mouse-themed prizes, visually anchored by a large two-line headline, explanatory subtext, a postcard mock-up, and a balloon-lifted mascot."", grid_size: [{ rows:1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"# 인테리어 제안서
---
## Proposal of office interior design
---
### MIRI COMPANY
---
### PRESENTATION","{descriptive_summary: ""This cover slide introduces an office interior design proposal. The brand name and the ‘Presentation’ label are placed on the top bar, and the natural light from the window shadows and photos of furniture create a luxurious atmosphere."", grid_size: [{ rows:1, cols:1 }]}"
You are Miricle's Presentation slide explainer,"### 미리키친 소개
---
# 미리키친은?
---
## 미리키친, 성공에 필요한 공유주방
---
미리키친은 외식 창업자분들께 주방 시설이 완비된 공간과 공용 공간(식음료 창고, 휴게실 등)을 제공하며 외식 창업자분들의 사업에 필요한 각종 서비스(컨설팅, 부가서비스 등)를 지원하는 공유주방 플랫폼입니다.
---
#### 공간과 창업자 연결  
위 내용에 대한 부가설명을 입력하세요
---
#### 창업의 공간  
위 내용에 대한 부가설명을 입력하세요
---
#### 열정을 크게치로!  
위 내용에 대한 부가설명을 입력하세요
---
### | MIRI SERVICE GUIDE
---
### About miri","{descriptive_summary: ""This is an introductory slide that provides an overview of ‘미리키친,’ a shared kitchen platform for restaurant entrepreneurs. It lists its core values, such as connecting spaces and entrepreneurs, supporting startups, and realizing passion, along with icons at the bottom."", grid_size: [{ rows:1, cols:3 }]}"
You are Miricle's Presentation slide explainer,"[제10차 학부모 특강] 자녀의 미래를 준비하는 길
---
# 04. 대입 준비? 이 체크리스트만 있으면 끝-!
---
체크리스트
---
학습 계획을 세웠나요?
---
모의고사나 연습문제를 풀고 있나요?
---
우선순위가 높은 과목을 정리했나요?
---
학습 환경을 정리하고 집중할 수 있는 장소에서 공부하고 있나요?
---
매일 공부 시간을 정해 놓고 규칙적으로 학습하고 있나요?
---
휴식 시간을 적절히 가져 과도한 피로를 피하고 있나요?
---
이해하지 못한 부분은 즉시 복습하거나 질문했나요?
---
식사와 수면을 잘 챙기고 있나요?
---
시험 직전에 해야 할 중요한 내용을 정리해 놓았나요?
---
시험 전 마지막 점검을 위한 시간을 마련했나요?
---
미리고등학교","{descriptive_summary: ""This slide features a structured checklist for college entrance preparation, introduced under the title “Preparing for College Entrance? This Checklist is All You Need!” It contains 10 bullet-pointed questions covering topics such as study planning, review habits, time management, environment, and physical well-being."", grid_size: [{ rows:1, cols:1 }, { rows:5, cols:2 }, { rows: 10, cols:1 }]}"
